qubit,bare,min-power,dressed,max-power
A0, 6.991452, -28, 6.99364, -42
A1, 7.114202, -29, 7.115942, -45
A2, 7.379114, -30, 7.379261, -40
A3, 7.460207, -28, 7.460286, -45
A4, 7.228154, -30, 7.230735, -46
A5, 7.625317, -26, 7.627600, -47
A6, 7.725318, -34, 7.725407, -43
B0, 6.991787, -31, 6.994232, -48
B1, 7.110623, -29, 7.113407, -47
B2, 7.357642, -23, 7.360501, -45
B3, 7.462411, -29, 7.463618, -47
B4, 7.686543, -31, 7.687099, -44
B5, 7.632647, -26, 7.635552, -48
C0, 6.978252, -32, 6.980467, -50
C1, 7.105635, -31, 7.105921, -50
C2, 7.363645, -37, 7.363720, -44
C3, 7.476412, -27, 7.479316, -47
C4, 7.223232, -32, 7.226656, -52
C5, 7.624026, -30, 7.625815, -48
D0, 6.969816, -32, 6.972419, -53
D1, 7.119731, -34, 7.119795, -45
D2, 7.356852, -28, 7.357700, -47
D3, 7.463506, -25, 7.463522, -40
D4, 7.674396, -27, 7.675205, -40
D5, 7.620332, -26, 7.621790, -42
